query,intent,theme,place
temporal view of urban in Aminjikarai 2018 to 2023,temporal_visualize,urban,Aminjikarai
animate urban in Aminjikarai from 2015 to 2020,temporal_visualize,urban,Aminjikarai
difference in urban for Aminjikarai 2018 2023,analytical,urban,Aminjikarai
urban change in Aminjikarai 2020 2025,analytical,urban,Aminjikarai
what urban exists in Aminjikarai,descriptive,urban,Aminjikarai
list vegetation in Guindy,descriptive,vegetation,Guindy
compare water in Guindy between 2015 and 2020,analytical,water,Guindy
water change in Guindy 2020 2025,analytical,water,Guindy
display urban in Guindy for 2020,visualize,urban,Guindy
difference in urban for Guindy 2018 2023,analytical,urban,Guindy
describe vegetation coverage in Madhavaram,descriptive,vegetation,Madhavaram
describe water coverage in Madhavaram,descriptive,water,Madhavaram
describe urban coverage in Madhavaram,descriptive,urban,Madhavaram
show vegetation cover of Madhavaram from 2010 to 2015,temporal_visualize,vegetation,Madhavaram
compare vegetation in Madhavaram between 2015 and 2020,analytical,vegetation,Madhavaram
describe water coverage in Mylapore,descriptive,water,Mylapore
visualize urban coverage in Mylapore 2022,visualize,urban,Mylapore
show urban cover of Mylapore from 2010 to 2015,temporal_visualize,urban,Mylapore
compare vegetation in Mylapore between 2015 and 2020,analytical,vegetation,Mylapore
show mask for vegetation in Mylapore 2021,visualize,vegetation,Mylapore
show urban cover of Perambur from 2010 to 2015,temporal_visualize,urban,Perambur
show vegetation cover of Perambur from 2010 to 2015,temporal_visualize,vegetation,Perambur
show urban cover of Perambur from 2010 to 2015,temporal_visualize,urban,Perambur
display urban in Perambur for 2020,visualize,urban,Perambur
compare water in Perambur between 2015 and 2020,analytical,water,Perambur
show urban cover of Purasawalkam from 2010 to 2015,temporal_visualize,urban,Purasawalkam
water change in Purasawalkam 2020 2025,analytical,water,Purasawalkam
water change in Purasawalkam 2020 2025,analytical,water,Purasawalkam
list water in Purasawalkam,descriptive,water,Purasawalkam
describe water coverage in Purasawalkam,descriptive,water,Purasawalkam
describe urban coverage in Tiruvottiyur,descriptive,urban,Tiruvottiyur
animate urban in Tiruvottiyur from 2015 to 2020,temporal_visualize,urban,Tiruvottiyur
vegetation change in Tiruvottiyur 2020 2025,analytical,vegetation,Tiruvottiyur
show urban cover of Tiruvottiyur from 2010 to 2015,temporal_visualize,urban,Tiruvottiyur
describe water coverage in Tiruvottiyur,descriptive,water,Tiruvottiyur
difference in vegetation for Tondiarpet 2018 2023,analytical,vegetation,Tondiarpet
animate vegetation in Tondiarpet from 2015 to 2020,temporal_visualize,vegetation,Tondiarpet
what urban exists in Tondiarpet,descriptive,urban,Tondiarpet
show urban cover of Tondiarpet from 2010 to 2015,temporal_visualize,urban,Tondiarpet
temporal view of urban in Tondiarpet 2018 to 2023,temporal_visualize,urban,Tondiarpet
visualize urban coverage in Velachery 2022,visualize,urban,Velachery
list vegetation in Velachery,descriptive,vegetation,Velachery
describe urban coverage in Velachery,descriptive,urban,Velachery
compare water in Velachery between 2015 and 2020,analytical,water,Velachery
list water in Velachery,descriptive,water,Velachery
animate urban in Aminjikarai_Chinnakudal from 2015 to 2020,temporal_visualize,urban,Aminjikarai_Chinnakudal
compare urban in Aminjikarai_Chinnakudal between 2015 and 2020,analytical,urban,Aminjikarai_Chinnakudal
display vegetation in Aminjikarai_Chinnakudal for 2020,visualize,vegetation,Aminjikarai_Chinnakudal
what water exists in Aminjikarai_Chinnakudal,descriptive,water,Aminjikarai_Chinnakudal
display vegetation in Aminjikarai_Chinnakudal for 2020,visualize,vegetation,Aminjikarai_Chinnakudal
temporal view of urban in Aminjikarai_Mullam 2018 to 2023,temporal_visualize,urban,Aminjikarai_Mullam
list vegetation in Aminjikarai_Mullam,descriptive,vegetation,Aminjikarai_Mullam
